STATE,DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,0V,DEC,ANNUAL RAINFALL,FLOOD 
102,102002,2010,71.57,32.53,95.33,154.97,127.02,277.19,189.89,164.37,187.03,270.61,431.64,276.93,2279.06,0
102,102003,2000,91.56,128.29,241.47,202,267.2,208.14,111.39,199.24,290.81,351.92,310.07,161.4,2563.48,0
102,102003,2001,154.49,23.13,190.36,217.01,187.02,148.91,185.42,224.96,220.5,328.79,194.99,129.52,2205.11,0
102,102003,2002,16.81,19.34,56.29,201.13,128.78,103.4,142.38,154.94,270.26,205.68,244.56,206.12,1749.71,1
102,102003,2003,36.62,53.69,206.66,75.12,123.62,151.7,198.64,327.86,275.16,638.42,207.56,128.61,2423.66,1
102,102003,2004,53.89,52.83,99.44,140.02,159.99,200.04,160.34,197.85,234.2,306.76,141.63,102.96,1849.96,0
102,102003,2005,51.03,49.2,104.35,99.44,294.69,142.01,168.87,163.61,145.28,268.83,310.74,354.59,2152.63,0
102,102003,2006,51.84,112.36,185.33,130.7,287.43,206.21,188.61,130.25,198.97,208.43,187.1,118.03,2005.26,0
102,102003,2007,118.89,30.87,126.17,210.88,146.24,170.89,240.36,207.07,294.11,333.94,193.25,163.17,2235.83,1
102,102003,2008,69.53,67.04,125.69,189.69,171.28,230.64,204.71,194.34,278.32,346.42,333.74,203.77,2415.15,1
102,102003,2009,89.02,64.43,253.66,193.86,266.55,68.47,189.49,341.77,214.63,223.81,401.56,144.35,2451.58,0
102,102003,2010,71.57,32.53,95.33,154.97,127.02,277.19,189.89,164.37,187.03,270.61,431.64,276.93,2279.06,1
102,102004,2000,119.96,142.51,237.09,196.63,225.03,178.48,108.3,175.17,289.68,358.36,480.61,271.28,2783.11,0
102,102004,2001,171.49,29.19,187.58,195.94,175.05,109,177.98,200.25,215.33,321.23,246.2,200.72,2229.95,0
102,102004,2002,32.8,29.06,66.52,190.73,115.78,107.96,121.06,132.01,253.31,209.89,335.63,284.99,1879.75,1
102,102004,2003,55.18,73.94,201.92,75.16,97.78,161.16,178.33,286.22,240.16,661.38,290.17,204.5,2525.9,1
102,102004,2004,74.77,50.97,95.57,123.6,135.61,163.94,137.18,187.54,247.32,364.59,201.17,157.14,1939.41,0
