name,slug,value,date_of_information,ranking,region
"Wallis and Futuna","wallis-and-futuna","15,851","July 2021 est.","220","Australia - Oceania"
"Tuvalu","tuvalu","11,448","July 2021 est.","221","Australia - Oceania"
"Nauru","nauru","9,770","July 2021 est.","222","Australia - Oceania"
"Cook Islands","cook-islands","8,327","July 2021 est.","223","Australia - Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","7,915","July 2021 est.","224","Africa"
"Saint Barthelemy","saint-barthelemy","7,116","July 2021 est.","225","Central America"
"Montserrat","montserrat","5,387","July 2021 est.","226","Central America"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon-2","5,321","July 2021 est.","227","North America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","3,198","2016 est.","228","South America"
"Svalbard","svalbard","2,926","January 2021 est.","229","Europe"
"Christmas Island","christmas-island","2,205","2016 est.","230","Australia - Oceania"
"Niue","niue","2,000","July 2021 est.","231","Australia - Oceania"
"Norfolk Island","norfolk-island","1,748","2016 est.","232","Australia - Oceania"
"Tokelau","tokelau","1,647","2019 est.","233","Australia - Oceania"
"Paracel Islands","paracel-islands","1,440","July 2014 est.","234","East Asia/Southeast Asia"
"Holy See (Vatican City)","holy-see-vatican-city","1,000","2019 est.","235","Europe"
"Cocos (Keeling) Islands","cocos-keeling-islands","596","July 2014 est.","236","Australia - Oceania"
"Pitcairn Islands","pitcairn-islands","50","2021 est.","237","Australia - Oceania"
